author_in_publication;text;name;city;type;issue;year_emigration;description;peculiarity;name_part;pages;name_in_russia;year_russia
Бабель И.Э.;История моей голубятни;Версты;Париж;журнал;№1;1926;проза;полный текст;;58—67;Изд. Земля и Фабрика;1926
Белый А.;Москва под ударом;Версты;Париж;журнал;№2;1927;проза;отрывок;Москва под ударом;104—114;;
Веселый А.;Вольница;Версты;Париж;журнал;№1;1926;проза;полный текст;;68—81;Леф;1925
Веселый А.;Страна Родная;Версты;Париж;журнал;№2;1927;проза;отрывок;Восстание;84—92;;
Есенин С.А.;Какая ночь! Я не могу;Версты;Париж;журнал;№1;1926;стихи;полный текст;;7—8;Новый мир;1926
Есенин С.А.;Не гляди на меня с упреком;Версты;Париж;журнал;№1;1926;стихи;полный текст;;8—9;Новый мир;1926
Есенин С.А.;Ты меня не любишь, не жалеешь;Версты;Париж;журнал;№1;1926;стихи;полный текст;;9—10;Новый мир;1926
Есенин С.А.;Может поздно, может слишком рано ;Версты;Париж;журнал;№1;1926;стихи;полный текст;;10—11;Новый мир;1926
Пастернак Б.Л.;1905 год;Версты;Париж;журнал;№1;1926;стихи;отрывок;Потемкин ;20—22;Новый мир;1926
Сельвинский И.Л.;Казнь стецюры;Версты;Париж;журнал;№1;1926;стихи;полный текст;;23—26;Сборник литературного центра конструктивистов;
Сельвинский И.Л.;Казачья походная;Версты;Париж;журнал;№1;1926;стихи;полный текст;;27;"Круг 
";
Сельвинский И.Л.;Цыганская ;Версты;Париж;журнал;№1;1926;стихи;полный текст;;28;"Мена всех Поэты конструктивисты 
";1924
Сельвинский И.Л.;Цыганский вальс на гитаре ;Версты;Париж;журнал;№1;1926;стихи;полный текст;;29;"Мена всех Поэты конструктивисты 
";1924
Тынянов Ю.;Кюхля;Версты;Париж;журнал;№2;1927;проза;отрывок;Конец;92—104;;
Ахматова А.А.;Земной отрадой сердца не томи;Накануне ;Берлин;журнал;№29(№1);30.04.1922;стихи;полный текст;;1;;
Ахматова А.А.;Как мог ты, сильный и свободный;Накануне ;Берлин;журнал;№29(№1);30.04.1922;стихи;полный текст;;1;;
Мариенгоф А.;Без шляпы;Накануне ;Берлин;журнал;№34(№2);07.05.1922;стихи;отрывок;;1;;
Есенин С.А.;Все живое особой метой;Накануне ;Берлин;журнал;№40 (№3);14.05.1922;стихи;полный текст;;1;;
Есенин С.А.;Не жалею, не зову, не плачу;Накануне ;Берлин;журнал;№40 (№3);14.05.1922;стихи;полный текст;;1;;
"Пильняк Б.А.
";Отрывок без названия;Накануне ;Берлин;журнал;№40 (№3);14.05.1922;проза;полный текст;;7;;
Есенин С.А.;Сторона ты моя, сторона;Накануне ;Берлин;журнал;№46 (№4);21.05.1922;стихи;полный текст;;1;;
Мандельштам О.;Люблю под сводами седыя тишины;Накануне ;Берлин;журнал;№51(№5);28.05.1922;стихи;полный текст;;;;
Пильняк Б.А.;В охотничьем избе;Накануне ;Берлин;журнал;№51(№5);28.05.1922;проза;полный текст;;1—3;;
Орешин П.;Голод;Накануне ;Берлин;журнал;№57(№6);04.06.1922;стихи;полный текст;;1—2;;
Чуковский Н.;Птенцов щеглах в крыльях прячет;Накануне ;Берлин;журнал;№57(№6);04.06.1922;стихи;полный текст;;3;;
Чуковский Н.;Засыпает сторож в будке;Накануне ;Берлин;журнал;№57(№6);04.06.1922;стихи;полный текст;;3;;
Мариенгоф А.;Другу на прощанье;Накануне ;Берлин;журнал;№62(№7);11.06.1922;стихи;полный текст;;1;;
Иванов Вс.;Дитё;Накануне ;Берлин;журнал;№62(№7);11.06.1922;проза;полный текст;;2—4;;
Орешин П.;Золотой чернозем;Накануне ;Берлин;журнал;№69(№8);18.06.1922;стихи;полный текст;;;;
Мандельштам О.;Умывался ночью на дворе;Накануне ;Берлин;журнал;№69(№8);18.06.1922;стихи;полный текст;;;;
Федин К.А.;Сад;Накануне ;Берлин;журнал;№69(№8);18.06.1922;проза;полный текст;;2—4;;
Булгаков М.А.;Записки на манжетах;Накануне ;Берлин;журнал;№69(№8);18.06.1922;проза;полный текст;;5—7;;
Мандельштам О.;Я в хоровод теней, топтавших нежный луг;Накануне ;Берлин;журнал;№74(№9);25.06.1922;стихи;полный текст;;1;;
Катаев В.;Самогон;Накануне ;Берлин;журнал;№74(№9);25.06.1922;стихи;полный текст;;1;;
Неверов А.;Страшные вести;Накануне ;Берлин;журнал;№74(№9);25.06.1922;проза;полный текст;;2—3;;
Никитин Н.;О кобыльем яйце и коте-агенте;Накануне ;Берлин;журнал;№82(№9);16.07.1922;проза;полный текст;;1;;
Катаев В.;В осажденном городе;Накануне ;Берлин;журнал;№82(№9);16.07.1922;проза;полный текст;;2;;
Мандельштам О.;С розовой пеной усталость у мягких губ;Накануне ;Берлин;журнал;№94(№11);30.07.1922;стихи;полный текст;;1;;
Зенкевич М.;Черношоколадные пашни;Накануне ;Берлин;журнал;№94(№11);30.07.1922;стихи;полный текст;;1;;
Лидин В.;Ковчег;Накануне ;Берлин;журнал;№94(№11);30.07.1922;проза;полный текст;;1—;;
Слезкин Ю.;Столовая Гора;Накануне ;Берлин;журнал;№100(№12);06.08.1922;проза;отрывок;О Лизочке и еще кой о чем;1—2;;
Семенов С.;Sterbstadt;Накануне ;Берлин;журнал;№100(№12);06.08.1922;проза;отрывок;;2—3;;
Блок А.А.;Возмездие;Накануне ;Берлин;журнал;№106(№13);13.08.1922;стихи;отрывок;;1;;
Волошин М.;Памяти Александра Блока;Накануне ;Берлин;журнал;№106(№13);13.08.1922;стихи;полный текст;;1;;
Чачиков А. ;Грядущее;Накануне ;Берлин;журнал;№112(№14);20.08.1922;стихи;полный текст;;1;;
Слонимский М.;Чертово колесо;Накануне ;Берлин;журнал;№112(№14);20.08.1922;проза;полный текст;;1—4;;
Приходченко Е.;Гудела степь и ветры пахли медом;Накануне ;Берлин;журнал;№112(№14);20.08.1922;стихи;полный текст;;1;;
Катаев В.;Рыжие крестики ;Накануне ;Берлин;журнал;№112(№14);20.08.1922;проза;полный текст;;4;;
Иванов Вс.;Рассказ о себе;Накануне ;Берлин;журнал;№118(№15);27.08.1922;проза;полный текст;;1—2;;
Слезкин Ю.;Томительная ночи повесть;Накануне ;Берлин;журнал;№118(№15);27.08.1922;проза;полный текст;;3—4;;
Ивнев Р.;Россия;Накануне ;Берлин;журнал;№124(№16);03.09.1922;стихи;полный текст;;1;;
Крайский А.;Я или ты?;Накануне ;Берлин;журнал;№124(№16);03.09.1922;стихи;полный текст;;1—2;;
Неверов А.;Колька;Накануне ;Берлин;журнал;№124(№16);03.09.1922;проза;полный текст;;2—5;;
Козырев М.;Пекате;Накануне ;Берлин;журнал;№124(№16);03.09.1922;проза;полный текст;;5—8;;
Галати Е.;Как мудрый отравитель, время ;Накануне ;Берлин;журнал;№130(№17);10.09.1922;стихи;полный текст;;1;;
Галати Е.;Фильмела;Накануне ;Берлин;журнал;№130(№17);10.09.1922;стихи;полный текст;;1;;
Оленин А.;Поэма встречи;Накануне ;Берлин;журнал;№136(№18);17.09.1922;стихи;отрывок;;1;;
Слезкин Ю.;Житие;Накануне ;Берлин;журнал;№136(№18);17.09.1922;проза;полный текст;;1—5;;
Катаев В.;Иринка;Накануне ;Берлин;журнал;№142(№19);24.09.1922;проза;полный текст;;1—2;;
Булгаков М.А.;Похождения Чичикова;Накануне ;Берлин;журнал;№142(№19);24.09.1922;проза;полный текст;;2—6;;
Никулин Л.;Путешествие в Афганистан;Накануне ;Берлин;журнал;№154(№21);08.10.1922;стихи;отрывок;Герат;1;;
Никитин Н.;Пелла;Накануне ;Берлин;журнал;№154(№21);08.10.1922;стихи;полный текст;;1;;
Ромашев Б.;Я живу в том доме;Накануне ;Берлин;журнал;№160(№22);15.10.1922;стихи;полный текст;;1;;
Приходченко Е.;Затея;Накануне ;Берлин;журнал;№160(№22);15.10.1922;стихи;полный текст;;1;;
Горбов Д.;По облакам;Накануне ;Берлин;журнал;№160(№22);15.10.1922;стихи;полный текст;;1;;
Булгаков М.А.;Красная корона;Накануне ;Берлин;журнал;№166(№23);22.10.1922;проза;полный текст;;2—5;;
Слезкин Ю.;Столовая Гора;Накануне ;Берлин;журнал;№178(№25);05.11.1922;проза;отрывок;Разрешается хождение;2—5;;
Федин К.А.;Анна Тимофеевна;Накануне ;Берлин;журнал;№190(№27);19.11.1922;проза;отрывок;Чудо;2—3;;
Миндалин Э.М.;Литературная Москва;Накануне ;Берлин;журнал;№195(№28);26.11.1922;проза;полный текст;;2;;
Грин А.С.;Тифозный пунктир;Накануне ;Берлин;журнал;№201(№29);03.12.1922;проза;полный текст;;1—3;;
Михайлов П.;Сучки и задоринки;Накануне ;Берлин;журнал;№207(№30);10.12.1922;проза;полный текст;;4;;
Булгаков М.А.;Алый мах;Накануне ;Берлин;журнал;№207(№30);10.12.1922;проза;отрывок;В ночь на 3-е число;1—2;;
Соколовский А.;Среди чужих;Накануне ;Берлин;журнал;№213(№31);17.12.1922;проза;полный текст;;1—2;;
Кузмин М.;Брызни дождем веселым;Накануне ;Берлин;журнал;№235(№35);14.01.1923;стихи;полный текст;;1;;
Катаев В.;Три бездельника;Накануне ;Берлин;журнал;№235(№35);14.01.1923;проза;отрывок;Женитьба Эдуарда;2—5;;
Кузмин М.;На площадке пляшут дети;Накануне ;Берлин;журнал;№235(№35);14.01.1923;стихи;полный текст;;1;;
Кузмин М.;Родина Вергилия;Накануне ;Берлин;журнал;№235(№35);14.01.1923;стихи;полный текст;;2;;
Волошин М.;На вокзале ;Накануне ;Берлин;журнал;№240(№36);20.01.1923;стихи;полный текст;;1;;
Мандельштам О.;Гуманизм и современность ;Накануне ;Берлин;журнал;№240(№36);20.01.1923;проза;полный текст;;6;;
Волошин М.;Пустыня;Накануне ;Берлин;журнал;№240(№36);20.01.1923;стихи;полный текст;;2;;
Волошин М.;Посев ;Накануне ;Берлин;журнал;№240(№36);20.01.1923;стихи;полный текст;;2;;
Шенгели Г.;Броненосец;Накануне ;Берлин;журнал;№246(№37);27.01.1923;стихи;полный текст;;1;;
Волошин М.;Карадэг;Накануне ;Берлин;журнал;№246(№37);27.01.1923;стихи;полный текст;;2;;
Волошин М.;Ветер с неба хлопья облак вытер;Накануне ;Берлин;журнал;№246(№37);27.01.1923;стихи;полный текст;;2;;
Волошин М.;Снова облака тяжелые свитки;Накануне ;Берлин;журнал;№246(№37);27.01.1923;стихи;полный текст;;2;;
Волошин М.;Опять бреду я босоногий;Накануне ;Берлин;журнал;№246(№37);27.01.1923;стихи;полный текст;;2;;
Слезкин Ю.;Столовая Гора;Накануне ;Берлин;журнал;№246(№37);27.01.1923;проза;отрывок;Песня Гейлюна;3—4;;
Никулин Л.;1918;Накануне ;Берлин;журнал;№252(№38);04.02.1923;проза;отрывок;;1—3;;
Волошин М.;Русь;Накануне ;Берлин;журнал;№264(№40);18.02.1923;стихи;полный текст;;1;;
Ивнев Р.;Сумерки в Чакве;Накануне ;Берлин;журнал;№264(№40);18.02.1923;стихи;полный текст;;2;;
Соколов-Микитов И.;В лесу;Накануне ;Берлин;журнал;№264(№40);18.02.1923;проза;полный текст;;2—3;;
Катаев В.;Патерик;Накануне ;Берлин;журнал;№270(№41);25.02.1923;стихи;полный текст;;1;;
Слезкин Ю.;Самостийники;Накануне ;Берлин;журнал;№270(№41);25.02.1923;проза;отрывок;Диверсия полковника Щербовенкова;2—4;;
Пришвин М.;От земли и городов ;Накануне ;Берлин;журнал;№276(№42);04.03.1923;проза;отрывок;Никола Сидящий;1—2;;
Асеев Н.;Электриада;Накануне ;Берлин;журнал;№282(№43);11.03.1923;стихи;отрывок;;1;;
Пришвин М.;От земли и городов ;Накануне ;Берлин;журнал;№288(№44);18.03.1923;проза;отрывок;Милость мира;1—2;;
Никулин Л.;1919;Накануне ;Берлин;журнал;№299(№46);01.04.1923;проза;отрывок;;;;
Крючков С.;Певчей птахе ли, зверю ли, рыбе-ль;Накануне ;Берлин;журнал;№316(№49);22.04.1923;стихи;полный текст;;1;;
Слезкин Ю.;О превратностях судьбы Лесники Гук;Накануне ;Берлин;журнал;№316(№49);22.04.1923;проза;полный текст;;1—5;;
Слезкин Ю.;Заветная кубышка;Накануне ;Берлин;журнал;№338(№53);20.05.1923;проза;отрывок;Страница авантюры ;1—3;;
Шторм Г.;Идешь, бредешь по мостовой ;Накануне ;Берлин;журнал;№349(№55);03.06.1923;стихи;полный текст;;1;;
Иванов Вс.;Голубые пески;Накануне ;Берлин;журнал;№349(№55);03.06.1923;проза;отрывок;Атаман Трубычев и Василий Запус;2—7;;
Шторм Г.;Янычар;Накануне ;Берлин;журнал;№361(№57);17.06.1923;проза;полный текст;;1—2;;
Глубоковский Б.;Московские каприччио;Накануне ;Берлин;журнал;№361(№57);17.06.1923;проза;отрывок;В ночь на 31 февраля;2—4;;
Слезкин Ю.;Савватий Анисимович;Накануне ;Берлин;журнал;№373(№59);01.07.1923;проза;полный текст;;1—3;;
Апушкин Я.;Отрывки из поэмы;Накануне ;Берлин;журнал;№430;09.09.1923;проза;полный текст;;;;
Волин Ю.;Негр Магмури;Накануне ;Берлин;журнал;№430;09.09.1923;проза;полный текст;;;;
Соколов-Микитов И.;Конокрад;Накануне ;Берлин;журнал;№623(№106);11.05.1924;проза;полный текст;;1;;
Слезкин Ю.;Писатель, критик и «рецензент» (литературный фельетон);Накануне ;Берлин;журнал;№623(№106);11.05.1924;проза;полный текст;;5–6;;
Шестаков Н.;Рыбий пузырь;Накануне ;Берлин;журнал;№629(№112);18.05.1924;проза;отрывок;;1–3;;
Брюсов В.Я.;Миг;Издательство Гржебина;Берлин;издательство;;1922;стихи;полный текст;;;;
Булгаков П.И.;"Жадность 
";Издательство Гржебина;Берлин;издательство;;1923;проза;полный текст;;;;
"Гумилев Н.С. 
";"Костер 
";Издательство Гржебина;Берлин;издательство;;1920;стихи;полный текст;;;;
Гумилев Н.С.;"Костер 
";Издательство Гржебина;Берлин;издательство;;1922;стихи;полный текст;;;;
Есенин С.А.;Собрание стихов и поэм. Т. 1.;Издательство Гржебина;Берлин;издательство;;1922;стихи;полный текст;;;;
"Замятин Е.И. 
";"Большим детям сказки 
";Издательство Гржебина;Берлин;издательство;;1922;проза;полный текст;;;;
"Замятин Е.И. 
";"Островитяне 
";Издательство Гржебина;Берлин;издательство;;1922;проза;полный текст;;;;
Замятин Е.И.;"Островитяне 
";Издательство Гржебина;Берлин;издательство;;1923;проза;полный текст;;;;
"Новиков И.А. ";Жертва;Издательство Гржебина;Берлин;издательство;;1923;проза;полный текст;;;;
Пастернак Б.Л.;Сестра моя — жизнь ;Издательство Гржебина;Берлин;издательство;;1923;стихи;полный текст;;;;
Пильняк Б.А.;Голый год;Издательство Гржебина;Берлин;издательство;;1922;проза;полный текст;;;;
"Пильняк Б.А.
";Иван-да-Марья;Издательство Гржебина;Берлин;издательство;;1922;проза;полный текст;;;;
Подъячев С.П.;"Жизнь мужицкая ";Издательство Гржебина;Берлин;издательство;;1923;проза;полный текст;;;;
Подъячев С.П.;Ревность ;Издательство Гржебина;Берлин;издательство;;1922;проза;полный текст;;;;
"Пяст В.А. ";"Лирика 
";Издательство Гржебина;Берлин;издательство;;1922;стихи;полный текст;;;;
"Пяст В.А. ";Львиная пасть;Издательство Гржебина;Берлин;издательство;;1922;стихи;полный текст;;;;
Пяст В.А.;"Ограда 
";Издательство Гржебина;Берлин;издательство;;1922;стихи;полный текст;;;;
"Пяст В.А. ";"Третья книга лирики 
";Издательство Гржебина;Берлин;издательство;;1922;стихи;полный текст;;;;
Сергеев-Ценский С.Н.;Чудо;Издательство Гржебина;Берлин;издательство;;1923;проза;полный текст;;;;
Телешов Н.Д.;Рассказы;Издательство Гржебина;Берлин;издательство;;1922;проза;полный текст;;;;
Форш О.Д.;Смерть Коперника;Издательство Гржебина;Берлин;издательство;;1922;проза;полный текст;;;;
Чапыгин А.П.;Белый скит;Издательство Гржебина;Берлин;издательство;;1922;проза;полный текст;;;;
Шагинян М.С.;"Orientalia ";Издательство Гржебина;Берлин;издательство;;1921;проза;полный текст;;;;
Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Бес да инок;36—48;;
Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Месяц да солнце ;36—48;;
Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Про свинью жирную;36—48;;
Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Дед да внук;36—48;;
Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Петух да гусыня;36—48;;
Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Про медведя да осиновый кол с голосом;36—48;;
Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Про безродного чертяку;36—48;;
Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Кобыла да чучел;36—48;;
Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Мужик в пекле;36—48;;
Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Фабричный мужик;36—48;;
Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Про корову бодучую;36—48;;
Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Про купца да ягодку;36—48;;
Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Как ворона за курицу служила;36—48;;
Цветаева М.;Пожирающий огонь-мой конь;Современные записки;Париж;журнал;;11.1920;стихи;полный текст;;49;;
Цветаева М.;Чердачный дворец мой, дворцовый чердак;Современные записки;Париж;журнал;;11.1920;стихи;полный текст;;49;;
Цветаева М.;Есть колосья тучные, есть колосья тощие;Современные записки;Париж;журнал;;11.1920;стихи;полный текст;;50;;
Цветаева М.;Благословляю ежедневный труд;Современные записки;Париж;журнал;;11.1920;стихи;полный текст;;50;;
Федорченко С.;Сказки и песни буковинские;Современные записки;Париж;журнал;;27.02.1921;проза;полный текст;;95—101;;
Волошин М.;Европа;Современные записки;Париж;журнал;;17.04.1921;стихи;полный текст;;86—88;;
Волошин М.;Стенькин суд;Современные записки;Париж;журнал;;17.04.1921;стихи;полный текст;;89—91;;
Волошин М.;Дмитрий Император 1591-1613 гг.;Современные записки;Париж;журнал;;17.04.1921;стихи;полный текст;;92—94;;
Волошин М.;Святая Русь;Современные записки;Париж;журнал;;17.04.1921;стихи;полный текст;;95—96;;
Волошин М.;Молитва о городе: Феодосия в марте 1918 г.;Современные записки;Париж;журнал;;17.04.1921;стихи;полный текст;;97—99;;
Волошин М.;Видение Иезекииля;Современные записки;Париж;журнал;;09.06.1921;стихи;полный текст;;99—101;;
Волошин М.;Пресуществление;Современные записки;Париж;журнал;;09.06.1921;стихи;полный текст;;102—103;;
Цветаева М.;Если душа родилась крылатой ;Современные записки;Париж;журнал;;05.08.1921;стихи;полный текст;;74;;
Цветаева М.;Высоко мое оконце!;Современные записки;Париж;журнал;;05.08.1921;стихи;полный текст;;75;;
Цветаева М.;Семь мечей пронзали сердце;Современные записки;Париж;журнал;;05.08.1921;стихи;полный текст;;76;;
Цветаева М.;Андрей Шенье взошел на эшафот;Современные записки;Париж;журнал;;05.08.1921;стихи;полный текст;;77;;
Цветаева М.;Дорожкою простонародною;Современные записки;Париж;журнал;;05.08.1921;стихи;полный текст;;78;;
Цветаева М.;И страшные мне снятся сны;Современные записки;Париж;журнал;;05.08.1921;стихи;полный текст;;79;;
Цветаева М.;Хочешь знать, как дни проходят;Современные записки;Париж;журнал;;05.08.1921;стихи;полный текст;;80;;
Цветаева М.;Мое убежище от диких орд;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;93;;
Цветаева М.;Закинув голову и опустив глаза;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;93;;
Цветаева М.;У первой бабки четыре сына;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;94;;
Цветаева М.;Тебе — через сто лет;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;95;;
Цветаева М.;Идите, старьтесь над считаньем петель;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;96;;
Цветаева М.;Але;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;97;;
Цветаева М.;«Марина, спасибо за мир!»;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;97;;
Цветаева М.;Я не танцую, – без моей вины;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;97;;
Цветаева М.;Развела тебе в стакане;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;98;;
Цветаева М.;Я – страница твоему перу;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;98;;
Цветаева М.;Бабушка;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;99—102;;
Цветаева М.;Поступь легкая моя;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;103;;
Цветаева М.;Как правая и левая рука;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;120;;
Цветаева М.;Солнце – одно, а шагает по всем городам;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;121;;
Цветаева М.;Чтобы помнил не часок, не годок;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;122;;
Цветаева М.;Нà смех и нà ало;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;123;;
Цветаева М.;Со мной не надо говорить;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;124;;
Цветаева М.;Ты меня никогда не прогонишь;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;125;;
Цветаева М.;Не знаю, где ты и где я;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;126;;
Цветаева М.;И бродим с тобой по церквам;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;127;;
Цветаева М.;И как под землею трава;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;128;;
Цветаева М.;Когда-нибудь, прелестное созданье;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;129;;
Цветаева М.;Отнимите жемчуг – останутся слезы;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;130;;
Гумилев Н.С.;Огненный столп;Петрополис;Берлин;издательство;;1922;стихи;полный текст;;;;
Мандельштам О.;Tristia;Петрополис;Берлин;издательство;;1922;стихи;полный текст;;;;
Кузмин М.;Параболы;Петрополис;Берлин;издательство;;1923;стихи;полный текст;;;;
Радлова А.Д.;Богородицын корабль ;Петрополис;Берлин;издательство;;1923;драма;полный текст;;;;
Гумилев Н.С.;К синей звезде ;Петрополис;Берлин;издательство;;1923;стихи;полный текст;;;;
Гумилев Н.С.;Французские народные песни;Петрополис;Берлин;издательство;;1923;стихи;полный текст;;;;
Кузмин М.;Плавающие путешествующие;Петрополис;Берлин;издательство;;1923;проза;полный текст;;;;
Никитин Н.;Полет;Петрополис;Берлин;издательство;;1923;проза;полный текст;;;;
Никитин Н.;Ночной пожар;Петрополис;Берлин;издательство;;1924;проза;полный текст;;;;
Калинников И.Ф.;Мощи;Петрополис;Берлин;издательство;;1926;проза;полный текст;;;;
Андреев В.М.;Преступления Аквилонова;Петрополис;Берлин;издательство;;1927;проза;полный текст;;;;
Четвериков Б.Д.;Бунт инженера Каринского;Петрополис;Берлин;издательство;;1928;проза;полный текст;;;;
Федин К.А.;Братья;Петрополис;Берлин;издательство;;1928;проза;полный текст;;;;
Толстой А.Н.;Восемнадцатый год;Петрополис;Берлин;издательство;;1928;проза;полный текст;;;;
Мариенгоф А.;Циники;Петрополис;Берлин;издательство;;1928;проза;полный текст;;;;
Пильняк Б.А.;Штосс в жизнь;Петрополис;Берлин;издательство;;1929;проза;полный текст;;;;
Мариенгоф А.;Роман без вранья ;Петрополис;Берлин;издательство;;1929;проза;полный текст;;;;
Никитин Н.;Шпион;Петрополис;Берлин;издательство;;1929;проза;полный текст;;;;
Зощенко М.М.;Семейный купорос;Петрополис;Берлин;издательство;;1929;проза;полный текст;;;Пушка;1928
"Пильняк Б.А.
";Красное дерево;Петрополис;Берлин;издательство;;1929;проза;полный текст;;;;
Савич О.;Воображаемый собеседник ;Петрополис;Берлин;издательство;;1929;проза;полный текст;;;;
Сытин А.П.;Пастух времен;Петрополис;Берлин;издательство;;1929;проза;полный текст;;;;
Тынянов Ю.;Смерть Вазир-Мухтара;Петрополис;Берлин;издательство;;1929;проза;полный текст;;;;
Зощенко М.М.;Воспоминания о Мишеле Синягине;Петрополис;Берлин;издательство;;1930;проза;полный текст;;;Новый мир;1930
Мариенгоф А.;Бритый человек;Петрополис;Берлин;издательство;;1930;проза;полный текст;;;;
Толстой А.Н.;Петр 1;Петрополис;Берлин;издательство;;1930;проза;полный текст;;;;
Фибих Д.;Угар;Петрополис;Берлин;издательство;;1930;проза;полный текст;;;;
Зощенко М.М.;Воспоминания о Мишеле Синягине;Петрополис;Берлин;издательство;;1931;проза;полный текст;;;Новый мир;1930
Савич О.;Мы и они: Франция;Петрополис;Берлин;издательство;;1931;проза;полный текст;;;;
Розенфельд С.Е.;Гибель;Петрополис;Берлин;издательство;;1931;проза;полный текст;;;;
Гумилев Н.С.;Гондла;Петрополис;Берлин;издательство;;1936;драма;полный текст;;;;
Гумилев Н.С.;Чужое небо;Петрополис;Берлин;издательство;;1936;стихи;полный текст;;;;
Леонов Л.;Соть;Книга и сцена;Берлин;издательство;;193?;проза;полный текст;;;;
Катаев В.;Отец;Книга и сцена;Берлин;издательство;;1930;проза;полный текст;;;;
Катаев В.;Растратчики;Книга и сцена;Берлин;издательство;;1930;проза;полный текст;;;;
Ильф И. И Петров Е.;Золотой зеленок;Книга и сцена;Берлин;издательство;;1931;проза;полный текст;;;;
Олеша Ю.;Список благодеяний;Книга и сцена;Берлин;издательство;;1931;проза;полный текст;;;;
Толстой А.Н.;Черное золото;Книга и сцена;Берлин;издательство;;1931;проза;полный текст;;;;
Катаев В.;Миллион терзаний;Книга и сцена;Берлин;издательство;;1931;драма;полный текст;;;;
Слонимский М.;Фома Клешнев;Книга и сцена;Берлин;издательство;;1931;проза;полный текст;;;;
Павлов В.;Подхалимы;Возрождение;Париж;газета;№952;10.01.1928;проза;полный текст;;5;Крокодил;
Романов П.;Легкая работа;Возрождение;Париж;газета;№1170;15.08.1928;проза;полный текст;;3;Красная новь;07.1928
Бабель И.Э.;Мопассан — ее страсть;Возрождение;Париж;газета;№2632;16.08.1932;проза;полный текст;;4—5;30 дней;1932
Шолохов М.А.;Поднятая целина;Возрождение;Париж;газета;№2702;25.10.1932;проза;полный текст;;4—5;Новый мир;1932
Зощенко М.М.;Юмористический рассказ;Возрождение;Париж;газета;№2725;17.11.1932;проза;полный текст;;2;Вечерняя Москва;1932
Ильф И. И Петров Е.;Веселящая единица;Возрождение;Париж;газета;№2735;27.11.1932;проза;полный текст;;5;Правда;12.11.1932
Зощенко М.М.;Беспокойный старичок;Возрождение;Париж;газета;№2801;01.02.1933;проза;полный текст;;3;Крокодил;01.1933
Зощенко М.М.;Страдания молодого Вертера;Возрождение;Париж;газета;№2815;15.02.1933;проза;полный текст;;3;Крокодил;01.1933
Зощенко М.М.;Единодушие;Возрождение;Париж;газета;№2816;16.02.1933;проза;полный текст;;5;Вечерняя Москва;10.02.1933
Федин К.А.;Похищение Европы;Возрождение;Париж;газета;№2819;19.02.1933;проза;отрывок;Ганза;4;Красная газета;13.02.1933
Ильф И. И Петров Е.;Кандидаты ;Возрождение;Париж;газета;№2923;23.02.1933;проза;полный текст;;3—4;Огонек;10.02.1933
Ильф И. И Петров Е.;Необыкновенные страдания директора завода;Возрождение;Париж;газета;№2859;31.03.1933;проза;полный текст;;5;Правда;26.03.1933
